id,requirement_id,user_id,novelty,usefulness,clarity,created_at
51,147,704,3,4,4,"2016-03-03 15:11:11"
52,406,704,3,4,4,"2016-03-03 15:11:11"
53,1314,704,4,4,5,"2016-03-03 15:11:12"
54,1767,704,4,4,5,"2016-03-03 15:11:12"
55,2208,704,4,5,5,"2016-03-03 15:11:12"
56,2555,704,3,4,5,"2016-03-03 15:11:12"
61,444,712,2,2,2,"2016-03-03 15:12:27"
62,861,712,3,3,3,"2016-03-03 15:12:27"
63,970,712,5,5,5,"2016-03-03 15:12:27"
64,1941,712,2,2,3,"2016-03-03 15:12:27"
65,2239,712,5,5,5,"2016-03-03 15:12:27"
66,2361,712,5,5,5,"2016-03-03 15:12:27"
67,2640,712,3,3,3,"2016-03-03 15:12:27"
68,2699,712,2,2,2,"2016-03-03 15:12:27"
69,2718,712,3,3,3,"2016-03-03 15:12:27"
71,499,704,3,4,5,"2016-03-03 15:12:38"
72,1129,704,3,4,4,"2016-03-03 15:12:38"
73,1541,704,3,4,3,"2016-03-03 15:12:38"
74,1828,704,4,4,4,"2016-03-03 15:12:38"
75,1931,704,3,3,2,"2016-03-03 15:12:38"
76,2347,704,4,4,5,"2016-03-03 15:12:38"
77,2493,704,4,4,2,"2016-03-03 15:12:39"
78,2953,704,4,3,4,"2016-03-03 15:12:39"
79,3226,704,4,4,4,"2016-03-03 15:12:39"
91,283,712,3,3,3,"2016-03-03 15:13:31"
92,838,712,5,5,5,"2016-03-03 15:13:31"
93,1096,712,4,4,4,"2016-03-03 15:13:31"
94,1562,712,5,5,5,"2016-03-03 15:13:31"
95,2119,712,5,5,5,"2016-03-03 15:13:31"
96,2472,712,3,3,3,"2016-03-03 15:13:31"
97,2627,712,4,4,4,"2016-03-03 15:13:31"
98,2951,712,3,3,3,"2016-03-03 15:13:31"
99,3019,712,4,4,4,"2016-03-03 15:13:31"
101,313,705,3,2,4,"2016-03-03 15:13:49"
102,677,705,5,2,5,"2016-03-03 15:13:49"
103,1815,705,3,3,5,"2016-03-03 15:13:49"
104,1907,705,3,5,5,"2016-03-03 15:13:49"
105,2175,705,2,5,5,"2016-03-03 15:13:49"
106,2413,705,3,3,5,"2016-03-03 15:13:50"
107,2858,705,2,3,5,"2016-03-03 15:13:50"
108,3255,705,1,2,2,"2016-03-03 15:13:50"
111,479,704,2,3,2,"2016-03-03 15:13:55"
112,688,704,3,3,4,"2016-03-03 15:13:55"
113,883,704,3,3,1,"2016-03-03 15:13:55"
114,955,704,3,4,4,"2016-03-03 15:13:55"
115,1335,704,4,3,4,"2016-03-03 15:13:55"
116,1991,704,3,3,2,"2016-03-03 15:13:55"
117,2354,704,4,5,4,"2016-03-03 15:13:55"
118,2692,704,4,3,4,"2016-03-03 15:13:55"
119,2756,704,3,3,4,"2016-03-03 15:13:55"
121,334,707,3,5,5,"2016-03-03 15:14:35"
122,463,707,4,4,4,"2016-03-03 15:14:35"
123,564,707,4,5,5,"2016-03-03 15:14:35"
124,622,707,1,5,5,"2016-03-03 15:14:35"
125,1496,707,3,4,5,"2016-03-03 15:14:35"
126,2599,707,4,4,5,"2016-03-03 15:14:35"
127,2607,707,3,3,5,"2016-03-03 15:14:35"
128,2608,707,3,4,5,"2016-03-03 15:14:35"
129,3086,707,4,4,5,"2016-03-03 15:14:35"
131,54,712,3,4,3,"2016-03-03 15:14:38"
132,620,712,1,5,3,"2016-03-03 15:14:38"
133,667,712,3,3,3,"2016-03-03 15:14:38"
134,1548,712,5,5,5,"2016-03-03 15:14:38"
135,1634,712,2,2,1,"2016-03-03 15:14:38"
136,1913,712,1,3,3,"2016-03-03 15:14:38"
137,2042,712,5,5,5,"2016-03-03 15:14:38"
138,2447,712,3,3,2,"2016-03-03 15:14:38"
139,2653,712,2,2,3,"2016-03-03 15:14:38"
141,93,736,3,3,2,"2016-03-03 15:15:07"
142,242,736,2,2,5,"2016-03-03 15:15:07"
143,375,736,3,2,2,"2016-03-03 15:15:07"
144,1698,736,3,2,3,"2016-03-03 15:15:07"
145,2193,736,3,2,2,"2016-03-03 15:15:07"
146,2620,736,2,3,3,"2016-03-03 15:15:08"
147,2667,736,3,3,3,"2016-03-03 15:15:08"
148,2871,736,3,3,3,"2016-03-03 15:15:08"
149,2896,736,2,4,2,"2016-03-03 15:15:08"
151,121,722,3,5,4,"2016-03-03 15:15:14"
152,369,722,5,5,4,"2016-03-03 15:15:14"
153,1141,722,3,5,4,"2016-03-03 15:15:14"
154,1614,722,5,4,2,"2016-03-03 15:15:14"
155,1714,722,4,4,1,"2016-03-03 15:15:14"
156,1861,722,5,5,5,"2016-03-03 15:15:14"
157,2674,722,3,4,2,"2016-03-03 15:15:15"
158,2747,722,4,5,5,"2016-03-03 15:15:15"
159,2927,722,5,5,5,"2016-03-03 15:15:15"
160,3251,722,3,5,4,"2016-03-03 15:15:15"
161,424,721,2,4,4,"2016-03-03 15:15:19"
162,678,721,3,4,4,"2016-03-03 15:15:19"
163,1192,721,5,2,4,"2016-03-03 15:15:19"
164,1253,721,4,4,4,"2016-03-03 15:15:19"
165,2124,721,3,4,3,"2016-03-03 15:15:19"
166,2213,721,2,2,2,"2016-03-03 15:15:19"
167,2789,721,4,4,4,"2016-03-03 15:15:19"
168,3129,721,4,4,3,"2016-03-03 15:15:19"
169,3191,721,3,3,3,"2016-03-03 15:15:19"
171,380,708,2,3,5,"2016-03-03 15:15:31"
172,1370,708,1,5,5,"2016-03-03 15:15:31"
173,1424,708,2,3,5,"2016-03-03 15:15:31"
174,2060,708,3,1,3,"2016-03-03 15:15:31"
175,2385,708,2,3,5,"2016-03-03 15:15:31"
176,2445,708,4,5,5,"2016-03-03 15:15:31"
177,2992,708,3,5,4,"2016-03-03 15:15:31"
178,3029,708,5,5,5,"2016-03-03 15:15:31"
179,3074,708,1,5,5,"2016-03-03 15:15:31"
181,230,736,3,4,4,"2016-03-03 15:16:03"
182,333,736,3,3,4,"2016-03-03 15:16:03"
183,498,736,3,3,4,"2016-03-03 15:16:03"
184,1678,736,3,3,4,"2016-03-03 15:16:03"
185,1891,736,3,3,4,"2016-03-03 15:16:03"
186,2286,736,3,4,3,"2016-03-03 15:16:03"
187,2290,736,3,3,4,"2016-03-03 15:16:03"
188,2334,736,2,3,4,"2016-03-03 15:16:03"
189,2643,736,3,3,5,"2016-03-03 15:16:04"
